HHID,HV001,HV002,ta_id,urban_rural,HV246A,HV246D,HV246E,HV246G,HV248,HV245,HV271,HV251,HV204,HV206,HV226,HV219,HV243A,HV207,hhlivestock,livestock,sick,land,wealth,orphans,water,electricity,cooking,femalehh,cellphone,radio,urbanruralscore,capacity,na.rm
      711  1,"711","1","82",U,"0","0","0","0","0",,"207388","0","20","0","7","1","1","1","0","0","0.1474810976127772",,"3.789822444991929","0.8923625860164812","1.81553893233594","0","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      711  2,"711","2","82",U,"0","0","0","0","0",,"431791","0","0","1","7","1","1","1","0","0","0.1474810976127772",,"3.972984453317475","0.8923625860164812","3.628017681060864","3.710833120585482","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      711  4,"711","4","82",U,"0","0","0","0","0",,"227430","0","0","1","7","2","1","1","0","0","0.1474810976127772",,"3.81649817347719","0.8923625860164812","3.628017681060864","3.710833120585482","3.609805837617369","0","0","1.877714042914808","4",,"0"
      711 10,"711","10","82",U,"0","0","0","0","0",,"110799","0","3","0","7","1","1","1","0","0","0.1474810976127772",,"3.534449069747685","0.8923625860164812","3.587215232913975","0","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      711 11,"711","11","82",U,"0","0","0","0","0",,"459933","0","0","1","1","1","1","1","0","0","0.1474810976127772",,"3.982669271939512","0.8923625860164812","3.628017681060864","3.710833120585482","3.946977099885287","1.128026505819387","0","1.877714042914808","4",,"0"
      711 20,"711","20","82",U,"0","0","0","0","0",,"127790","0","20","0","8","1","1","1","0","0","0.1474810976127772",,"3.602072891003313","0.8923625860164812","1.81553893233594","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","4",,"0"
      711 21,"711","21","82",U,"0","0","0","0","0",,"188019","0","0","0","7","1","1","1","0","0","0.1474810976127772",,"3.758389261744966","0.8923625860164812","3.628017681060864","0","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      711 22,"711","22","82",U,"0","0","0","0","0",,"187628","1","0","0","7","1","1","1","0","0","0.1474810976127772",,"3.757199898054541","0.469968566816753","3.628017681060864","0","3.609805837617369","1.128026505819387","0","1.877714042914808","4",,"0"
      711 23,"711","23","82",U,"0","0","0","0","0",,"132223","0","0","0","7","2","1","1","0","0","0.1474810976127772",,"3.615835527992524","0.8923625860164812","3.628017681060864","0","3.609805837617369","0","0","1.877714042914808","4",,"0"
      711 24,"711","24","82",U,"0","0","0","0","0",,"396708","1","0","1","8","1","1","1","0","0","0.1474810976127772",,"3.959561634525529","0.469968566816753","3.628017681060864","3.710833120585482","0.06933763861154778","1.128026505819387","0","1.877714042914808","4",,"0"
      711 32,"711","32","82",U,"0","0","0","0","0",,"237121","0","0","1","7","1","0","1","0","0","0.1474810976127772",,"3.828901537677343","0.8923625860164812","3.628017681060864","3.710833120585482","3.609805837617369","1.128026505819387","1.482129956227955","1.877714042914808","4",,"0"
      713  5,"713","5","27",R,"0","5","0","0","0",,"-16082","0","20","0","8","1","1","1","5","3.459689066349503","0.1474810976127772",,"2.41491801885991","0.8923625860164812","1.81553893233594","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
      713 12,"713","12","27",R,"0","0","0","0","0",,"-1189","3","60","0","9","2","0","1","0","0","0.1474810976127772",,"2.659587120890324","0.1338883697221986","0.2395443726623597","0","0.0005098355780260866","0","1.482129956227955","1.877714042914808","0",,"0"
      713 31,"713","31","27",R,"0","0","0","0","0",,"10069","3","11","0","9","2","0","0","0","0","0.1474810976127772",,"2.815053946138816","0.1338883697221986","2.709792587555253","0","0.0005098355780260866","0","1.482129956227955","0","0",,"0"
      715 23,"715","23","153",R,"0","0","0","0","0",,"-71993","0","40","0","8","1","0","0","0","0","0.1474810976127772",,"0.6369892107722368","0.8923625860164812","0.847160829649779","0","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
      716 11,"716","11","54",R,"0","0","0","0","0",,"119851","0","5","0","8","2","1","1","0","0","0.1474810976127772",,"3.573867980630363","0.8923625860164812","3.354301258075485","0","0.06933763861154778","0","0","1.877714042914808","0",,"0"
      716 27,"716","27","54",R,"0","14","0","0","0",,"-42465","1","20","0","8","2","0","1","14","3.904341177470053","0.1474810976127772",,"1.823634355619743","0.469968566816753","1.81553893233594","0","0.06933763861154778","0","1.482129956227955","1.877714042914808","0",,"0"
      716 37,"716","37","54",R,"0","0","0","0","0",,"-43733","0","10","0","8","1","0","0","0","0","0.1474810976127772",,"1.788802990400136","0.8923625860164812","2.713362801768106","0","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
      717 32,"717","32","109",R,"0","0","0","0","0",,"1501","0","20","0","8","2","1","1","0","0","0.1474810976127772",,"2.700535213660692","0.8923625860164812","1.81553893233594","0","0.06933763861154778","0","0","1.877714042914808","0",,"0"
