"","HHID","HV001","HV002","ta_id","urban_rural","HV246A","HV246D","HV246E","HV246G","HV248","HV245","HV271","HV251","HV204","HV206","HV226","HV219","HV243A","HV207","hhlivestock","livestock","sick","land","wealth","orphans","water","electricity","cooking","femalehh","cellphone","radio","urbanruralscore","capacity","na.rm"
"3001","      621 19",621,19,210,0,0,0,0,0,0,NA,-65973,0,60,0,8,2,0,0,0,0,0.147481097612777,NA,0.911562314161923,0.892362586016481,0.23954437266236,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"3002","      621 21",621,21,210,0,0,0,0,0,0,NA,-16033,0,45,0,8,2,0,0,0,0,0.147481097612777,NA,2.41559765525444,0.892362586016481,0.761135668140088,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"3003","      621 23",621,23,210,0,0,0,0,0,0,NA,-57705,3,60,0,8,2,0,0,0,0,0.147481097612777,NA,1.2857021493501,0.133888369722199,0.23954437266236,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"3004","      621 26",621,26,210,0,0,0,0,0,0,NA,-66628,1,30,0,8,2,0,0,0,0,0.147481097612777,NA,0.879449494520432,0.469968566816753,1.03553213192792,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"3005","      621 34",621,34,210,0,0,0,0,0,0,NA,39311,0,30,0,8,1,1,0,0,0,0.147481097612777,NA,3.11885141449325,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,0,0,0,NA,FALSE
"3006","      622  1",622,1,4,1,0,0,0,0,0,NA,62139,1,15,0,7,1,1,1,0,0,0.147481097612777,NA,3.28927024042137,0.469968566816753,2.3318599115947,0,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3007","      622  3",622,3,4,1,0,0,0,0,0,NA,225972,0,5,1,7,2,1,1,0,0,0.147481097612777,NA,3.81513890068813,0.892362586016481,3.35430125807548,3.71083312058548,3.60980583761737,0,0,1.87771404291481,3.53393934245179,NA,FALSE
"3008","      622  6",622,6,4,1,0,0,0,0,0,NA,148936,0,60,0,7,1,1,1,0,0,0.147481097612777,NA,3.66952680316031,0.892362586016481,0.23954437266236,0,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3009","      622 12",622,12,4,1,0,0,0,0,0,NA,172401,0,0,1,7,1,1,0,0,0,0.147481097612777,NA,3.72899498768159,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"3010","      622 16",622,16,4,1,0,0,0,0,0,NA,159212,0,20,0,7,1,1,1,0,0,0.147481097612777,NA,3.6963724407442,0.892362586016481,1.81553893233594,0,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3011","      622 18",622,18,4,1,0,0,0,0,0,NA,-6019,1,60,0,8,1,0,0,0,0,0.147481097612777,NA,2.58584657208393,0.469968566816753,0.23954437266236,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,3.53393934245179,NA,FALSE
"3012","      622 19",622,19,4,1,0,0,0,0,0,NA,142099,0,45,1,8,1,1,1,0,0,0.147481097612777,NA,3.6499872568176,0.892362586016481,0.761135668140088,3.71083312058548,0.0693376386115478,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3013","      622 24",622,24,4,1,0,0,0,0,0,NA,291063,0,0,1,8,2,1,1,0,0,0.147481097612777,NA,3.88701044940957,0.892362586016481,3.62801768106086,3.71083312058548,0.0693376386115478,0,0,1.87771404291481,3.53393934245179,NA,FALSE
"3014","      622 25",622,25,4,1,0,0,0,0,0,NA,-42690,1,30,0,8,1,1,0,0,0,0.147481097612777,NA,1.81734771897035,0.469968566816753,1.03553213192792,0,0.0693376386115478,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"3015","      622 26",622,26,4,1,0,0,0,0,0,NA,267295,0,10,1,7,1,1,1,0,0,0.147481097612777,NA,3.86322317560105,0.892362586016481,2.71336280176811,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3016","      622 27",622,27,4,1,0,0,0,0,0,NA,235076,0,30,1,1,1,1,1,0,0,0.147481097612777,NA,3.82669271939512,0.892362586016481,1.03553213192792,3.71083312058548,3.94697709988529,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3017","      622 31",622,31,4,1,0,0,0,0,0,NA,221004,1,20,1,7,1,1,1,0,0,0.147481097612777,NA,3.80800271854558,0.469968566816753,1.81553893233594,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3018","      622 32",622,32,4,1,0,0,0,0,0,NA,92485,0,10,0,7,1,1,0,0,0,0.147481097612777,NA,3.4554413388837,0.892362586016481,2.71336280176811,0,3.60980583761737,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"3019","      622 34",622,34,4,1,0,0,0,0,0,NA,301670,0,30,1,7,1,1,1,0,0,0.147481097612777,NA,3.89499617704528,0.892362586016481,1.03553213192792,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3020","      622 37",622,37,4,1,0,0,0,0,0,NA,62644,0,20,0,7,2,1,0,0,0,0.147481097612777,NA,3.29198878599949,0.892362586016481,1.81553893233594,0,3.60980583761737,0,0,0,3.53393934245179,NA,FALSE
"3021","      623  3",623,3,235,1,0,0,0,0,0,NA,142493,1,10,1,7,1,1,1,0,0,0.147481097612777,NA,3.65117662050803,0.469968566816753,2.71336280176811,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3022","      623  9",623,9,235,1,0,0,0,0,0,NA,67340,0,10,0,7,1,1,0,0,0,0.147481097612777,NA,3.3215529691615,0.892362586016481,2.71336280176811,0,3.60980583761737,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"3023","      623 11",623,11,235,1,0,0,0,0,0,NA,167594,0,0,1,7,1,1,1,0,0,0.147481097612777,NA,3.71812080536913,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3024","      623 12",623,12,235,1,0,0,0,0,0,NA,329911,1,0,1,7,2,1,0,0,0,0.147481097612777,NA,3.91997281454422,0.469968566816753,3.62801768106086,3.71083312058548,3.60980583761737,0,0,0,3.53393934245179,NA,FALSE
"3025","      623 14",623,14,235,1,0,0,0,0,0,NA,-35541,2,10,0,8,2,0,1,0,0,0.147481097612777,NA,2.00628663664939,0.257752102625096,2.71336280176811,0,0.0693376386115478,0,1.48212995622795,1.87771404291481,3.53393934245179,NA,FALSE
"3026","      623 20",623,20,235,1,0,0,0,0,0,NA,67481,0,0,0,7,2,0,0,0,0,0.147481097612777,NA,3.32308215104919,0.892362586016481,3.62801768106086,0,3.60980583761737,0,1.48212995622795,0,3.53393934245179,NA,FALSE
"3027","      623 22",623,22,235,1,0,0,0,0,0,NA,239400,0,0,1,1,2,1,1,0,0,0.147481097612777,NA,3.83094044686093,0.892362586016481,3.62801768106086,3.71083312058548,3.94697709988529,0,0,1.87771404291481,3.53393934245179,NA,FALSE
"3028","      623 24",623,24,235,1,0,0,0,0,0,NA,148039,0,0,1,7,2,1,0,0,0,0.147481097612777,NA,3.66561889389177,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,0,0,0,3.53393934245179,NA,FALSE
"3029","      623 26",623,26,235,1,0,0,0,0,0,NA,12894,0,10,0,8,2,0,0,0,0,0.147481097612777,NA,2.85413303882423,0.892362586016481,2.71336280176811,0,0.0693376386115478,0,1.48212995622795,0,3.53393934245179,NA,FALSE
"3030","      623 28",623,28,235,1,0,0,0,0,0,NA,181861,0,60,1,7,1,1,1,0,0,0.147481097612777,NA,3.74717526123524,0.892362586016481,0.23954437266236,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3031","      623 37",623,37,235,1,0,0,0,0,0,NA,167541,0,60,0,7,1,1,1,0,0,0.147481097612777,NA,3.7179508962705,0.892362586016481,0.23954437266236,0,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3032","      624  9",624,9,4,1,0,0,0,0,0,NA,109494,0,10,0,7,1,1,1,0,0,0.147481097612777,NA,3.52952170588735,0.892362586016481,2.71336280176811,0,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3033","      624 10",624,10,4,1,0,0,0,0,0,NA,188809,0,10,0,7,1,1,1,0,0,0.147481097612777,NA,3.75940871633676,0.892362586016481,2.71336280176811,0,3.60980583761737,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3034","      624 12",624,12,4,1,0,0,0,0,0,NA,8706,0,60,1,8,1,0,1,0,0,0.147481097612777,NA,2.79823294537422,0.892362586016481,0.23954437266236,3.71083312058548,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,3.53393934245179,NA,FALSE
"3035","      624 13",624,13,4,1,0,0,0,0,0,NA,29676,0,5,0,8,1,0,1,0,0,0.147481097612777,NA,3.02998895590859,0.892362586016481,3.35430125807548,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,3.53393934245179,NA,FALSE
"3036","      624 18",624,18,4,1,0,0,0,0,0,NA,83919,0,20,0,8,1,1,1,0,0,0.147481097612777,NA,3.41466315521196,0.892362586016481,1.81553893233594,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3037","      624 22",624,22,4,1,0,0,0,0,0,NA,35266,0,30,0,8,1,0,1,0,0,0.147481097612777,NA,3.08418995837227,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,3.53393934245179,NA,FALSE
"3038","      624 25",624,25,4,1,0,0,0,0,0,NA,485954,0,0,1,7,2,1,1,0,0,0.147481097612777,NA,3.99099481777249,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,0,0,1.87771404291481,3.53393934245179,NA,FALSE
"3039","      624 26",624,26,4,1,0,0,0,0,0,NA,467338,0,0,1,1,1,1,1,0,0,0.147481097612777,NA,3.98538781751763,0.892362586016481,3.62801768106086,3.71083312058548,3.94697709988529,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"3040","      624 27",624,27,4,1,0,0,0,0,0,NA,59757,0,30,0,8,1,1,0,0,0,0.147481097612777,NA,3.27499787613627,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"3041","      624 28",624,28,4,1,0,0,0,0,0,NA,77717,0,10,0,8,2,1,0,0,0,0.147481097612777,NA,3.3837396992609,0.892362586016481,2.71336280176811,0,0.0693376386115478,0,0,0,3.53393934245179,NA,FALSE
